Time (UTC +01:00 M/d/yyyy h:mm:ss tt),"Minimum (integral(A), Between rulers) (Vs)","Amplitude (integral(A), Between rulers) (Vs)"
2/1/2024 1:23:26 PM,-6.56096E-10,1.278942E-09
2/1/2024 1:23:26 PM,-2.291462E-10,1.145154E-09
2/1/2024 1:23:26 PM,-1.516886E-08,1.501077E-08
2/1/2024 1:23:26 PM,1.065145E-10,1.574267E-09
2/1/2024 1:23:26 PM,1.706447E-10,1.569664E-09
2/1/2024 1:23:26 PM,-1.86074E-08,1.844968E-08
2/1/2024 1:23:26 PM,-3.11608E-10,1.157845E-09
2/1/2024 1:23:26 PM,-6.554502E-10,1.386885E-09
2/1/2024 1:23:27 PM,-4.600394E-09,4.649879E-09
2/1/2024 1:23:27 PM,-6.557579E-10,1.175329E-09
2/1/2024 1:23:27 PM,-1.659895E-08,1.653763E-08
2/1/2024 1:23:27 PM,-1.029281E-09,1.596369E-09
2/1/2024 1:23:27 PM,-1.794316E-08,1.770254E-08
2/1/2024 1:23:27 PM,-2.822342E-10,7.56736E-10
2/1/2024 1:23:27 PM,-1.846592E-08,1.823622E-08
2/1/2024 1:23:27 PM,-2.289004E-10,1.159334E-09
2/1/2024 1:23:27 PM,-6.294907E-09,1.762991E-09
2/1/2024 1:23:27 PM,-1.070397E-11,1.212069E-09
2/1/2024 1:23:27 PM,-1.223547E-10,7.499592E-10
2/1/2024 1:23:27 PM,8.581433E-11,9.52482E-10
2/1/2024 1:23:27 PM,4.247662E-11,1.542951E-09
2/1/2024 1:23:28 PM,1.06576E-10,1.231905E-09
2/1/2024 1:23:28 PM,-2.265994E-08,2.241202E-08
2/1/2024 1:23:28 PM,-1.385894E-08,1.36691E-08
2/1/2024 1:23:28 PM,-4.315517E-09,3.59388E-09
2/1/2024 1:23:28 PM,-7.588583E-09,7.493571E-09
2/1/2024 1:23:28 PM,-7.909387E-10,1.361981E-09
2/1/2024 1:23:28 PM,1.918369E-10,1.387728E-09
2/1/2024 1:23:28 PM,2.344057E-10,8.598222E-10
2/1/2024 1:23:28 PM,-4.419905E-10,8.528341E-10
2/1/2024 1:23:28 PM,-3.640902E-09,3.602771E-09
2/1/2024 1:23:29 PM,2.027249E-10,1.380217E-09
2/1/2024 1:23:29 PM,4.250738E-11,1.186838E-09
2/1/2024 1:23:29 PM,-9.930979E-09,9.891163E-09
2/1/2024 1:23:29 PM,-1.72368E-08,1.701461E-08
2/1/2024 1:23:29 PM,-2.823264E-10,1.284415E-09
2/1/2024 1:23:29 PM,-8.756798E-09,8.639839E-09
2/1/2024 1:23:29 PM,-8.6891E-10,1.271715E-09
2/1/2024 1:23:29 PM,-7.73222E-10,1.293549E-09
2/1/2024 1:23:29 PM,-2.391729E-08,2.360625E-08
2/1/2024 1:23:29 PM,2.343442E-10,1.269441E-09
2/1/2024 1:23:29 PM,-1.122669E-08,1.116692E-08
2/1/2024 1:23:29 PM,-1.867519E-08,1.861939E-08
2/1/2024 1:23:29 PM,-9.500492E-10,1.462802E-09
2/1/2024 1:23:29 PM,-2.07118E-08,2.045936E-08
2/1/2024 1:23:29 PM,-5.713243E-09,5.420168E-09
2/1/2024 1:23:30 PM,-1.27922E-10,1.18775E-09
2/1/2024 1:23:30 PM,-4.094632E-08,2.212742E-08
2/1/2024 1:23:30 PM,-1.750753E-08,1.774963E-08
2/1/2024 1:23:30 PM,-2.483637E-09,2.87433E-09
2/1/2024 1:23:30 PM,2.080155E-10,1.795455E-09
2/1/2024 1:23:30 PM,-5.662984E-09,5.587538E-09
2/1/2024 1:23:30 PM,1.279835E-10,1.458673E-09
2/1/2024 1:23:30 PM,-1.605558E-11,6.482365E-10
2/1/2024 1:23:30 PM,-1.47421E-08,1.452208E-08
2/1/2024 1:23:30 PM,-6.414587E-09,6.338144E-09
2/1/2024 1:23:30 PM,-1.087198E-09,1.037176E-09
2/1/2024 1:23:30 PM,-8.714167E-09,7.901066E-09
2/1/2024 1:23:30 PM,9.036665E-11,1.37563E-09
2/1/2024 1:23:30 PM,-4.162153E-10,1.040151E-09
2/1/2024 1:23:30 PM,1.706447E-10,1.265538E-09
2/1/2024 1:23:30 PM,-1.670076E-08,1.664187E-08
2/1/2024 1:23:31 PM,-8.043462E-09,8.030632E-09
2/1/2024 1:23:31 PM,-2.081825E-08,2.057766E-08
2/1/2024 1:23:31 PM,-1.867996E-08,1.845546E-08
2/1/2024 1:23:31 PM,-1.780112E-09,1.459447E-09
2/1/2024 1:23:31 PM,-2.1664E-09,1.232036E-09
2/1/2024 1:23:31 PM,-9.667199E-11,1.577872E-09
2/1/2024 1:23:31 PM,1.493295E-10,1.374677E-09
2/1/2024 1:23:31 PM,-8.462105E-10,1.249936E-09
2/1/2024 1:23:31 PM,-1.115649E-09,7.876005E-10
2/1/2024 1:23:31 PM,-9.184285E-11,1.556452E-09
2/1/2024 1:23:31 PM,-4.215979E-10,1.22463E-09
2/1/2024 1:23:31 PM,-3.356913E-10,7.430483E-10
2/1/2024 1:23:31 PM,-1.223548E-10,7.486284E-10
2/1/2024 1:23:32 PM,-1.271552E-08,1.272246E-08
2/1/2024 1:23:32 PM,-2.341596E-10,1.49527E-09
2/1/2024 1:23:32 PM,-1.170337E-10,8.599262E-10
2/1/2024 1:23:32 PM,1.440388E-10,1.042054E-09
2/1/2024 1:23:32 PM,-7.583941E-09,7.653897E-09
2/1/2024 1:23:32 PM,-8.472562E-10,1.149263E-09
2/1/2024 1:23:32 PM,1.167874E-10,1.78208E-09
2/1/2024 1:23:32 PM,-1.745297E-08,1.735697E-08
2/1/2024 1:23:32 PM,-1.628998E-09,1.289867E-09
2/1/2024 1:23:32 PM,-2.773745E-10,7.498454E-10
2/1/2024 1:23:32 PM,-1.118357E-10,8.596815E-10
2/1/2024 1:23:32 PM,-4.729331E-10,9.390868E-10
2/1/2024 1:23:32 PM,-3.355992E-10,1.597581E-09
2/1/2024 1:23:32 PM,-1.082585E-08,8.885713E-09
2/1/2024 1:23:32 PM,2.344057E-10,1.461312E-09
2/1/2024 1:23:32 PM,1.06576E-10,1.574995E-09
2/1/2024 1:23:32 PM,-3.304319E-10,9.48295E-10
2/1/2024 1:23:33 PM,-1.093076E-08,9.070316E-09
2/1/2024 1:23:33 PM,-1.665708E-08,1.644123E-08
2/1/2024 1:23:33 PM,-1.635168E-08,1.406791E-08
2/1/2024 1:23:33 PM,1.918369E-10,1.591622E-09
2/1/2024 1:23:33 PM,-2.819266E-10,9.357976E-10
2/1/2024 1:23:33 PM,-5.749077E-09,5.745998E-09
2/1/2024 1:23:33 PM,-9.442665E-11,1.358047E-09
2/1/2024 1:23:33 PM,-1.170643E-10,1.570262E-09
2/1/2024 1:23:33 PM,-2.34006E-10,8.596781E-10
2/1/2024 1:23:33 PM,-1.047022E-08,1.065996E-08
2/1/2024 1:23:33 PM,-1.568663E-11,9.608039E-10
2/1/2024 1:23:33 PM,-1.206487E-08,1.216207E-08
2/1/2024 1:23:34 PM,-1.216904E-09,1.164187E-09
2/1/2024 1:23:34 PM,-4.712411E-10,1.159794E-09
2/1/2024 1:23:34 PM,-1.50573E-08,1.501629E-08
2/1/2024 1:23:34 PM,-1.835935E-08,1.817102E-08
2/1/2024 1:23:34 PM,-5.663352E-09,5.6586E-09
2/1/2024 1:23:34 PM,-3.422707E-09,3.474032E-09
2/1/2024 1:23:34 PM,-1.879071E-08,1.62847E-08
2/1/2024 1:23:34 PM,-1.120199E-10,1.055804E-09
2/1/2024 1:23:34 PM,-1.166892E-09,1.677037E-09
2/1/2024 1:23:34 PM,-9.915135E-09,9.861706E-09
2/1/2024 1:23:34 PM,-2.705795E-08,1.779473E-08
2/1/2024 1:23:34 PM,-2.06076E-11,1.493495E-09
2/1/2024 1:23:34 PM,8.809055E-11,8.594508E-10
2/1/2024 1:23:34 PM,-1.161663E-09,1.465827E-09
2/1/2024 1:23:34 PM,-1.579936E-08,1.565607E-08
2/1/2024 1:23:34 PM,-3.09824E-10,8.363197E-10
2/1/2024 1:23:34 PM,-9.598117E-09,9.527135E-09
2/1/2024 1:23:34 PM,9.59646E-11,1.49059E-09
2/1/2024 1:23:35 PM,-4.420211E-10,1.065344E-09
2/1/2024 1:23:35 PM,1.918984E-10,1.382196E-09
2/1/2024 1:23:35 PM,-1.666246E-08,1.651542E-08
2/1/2024 1:23:35 PM,-1.437288E-08,1.422696E-08
2/1/2024 1:23:35 PM,-6.021778E-10,1.073134E-09
2/1/2024 1:23:35 PM,-1.789345E-08,1.737421E-08
2/1/2024 1:23:35 PM,-2.232405E-10,8.524431E-10
2/1/2024 1:23:35 PM,-1.398508E-08,1.467868E-08
2/1/2024 1:23:35 PM,-9.488802E-11,1.043515E-09
2/1/2024 1:23:35 PM,1.234006E-10,1.497454E-09
2/1/2024 1:23:35 PM,-4.227178E-09,4.152842E-09
2/1/2024 1:23:35 PM,-4.368232E-10,9.603439E-10
2/1/2024 1:23:35 PM,-7.143824E-10,1.376952E-09
2/1/2024 1:23:35 PM,-3.353839E-10,8.507631E-10
2/1/2024 1:23:36 PM,9.977854E-11,1.314034E-09
2/1/2024 1:23:36 PM,-1.170642E-10,1.377817E-09
2/1/2024 1:23:36 PM,-1.547915E-08,1.536223E-08
2/1/2024 1:23:36 PM,-1.577869E-11,1.177162E-09
2/1/2024 1:23:36 PM,-1.095642E-08,9.302905E-09
2/1/2024 1:23:36 PM,-1.633253E-11,1.270422E-09
2/1/2024 1:23:36 PM,-3.381613E-09,2.669015E-09
2/1/2024 1:23:36 PM,-3.533958E-09,3.575069E-09
2/1/2024 1:23:36 PM,-6.494368E-09,6.470983E-09
2/1/2024 1:23:36 PM,-5.486588E-10,1.067539E-09
2/1/2024 1:23:36 PM,-1.279527E-09,1.273337E-09
2/1/2024 1:23:36 PM,-3.30155E-10,1.662658E-09
2/1/2024 1:23:36 PM,-1.173719E-10,8.55082E-10
2/1/2024 1:23:36 PM,-8.540538E-10,1.252942E-09
2/1/2024 1:23:37 PM,-1.630167E-11,1.594338E-09
2/1/2024 1:23:37 PM,-1.703985E-10,8.578563E-10
2/1/2024 1:23:37 PM,-9.771799E-11,1.002564E-09
2/1/2024 1:23:37 PM,-4.422981E-10,1.345878E-09
2/1/2024 1:23:37 PM,-6.397632E-11,9.592703E-10
2/1/2024 1:23:37 PM,9.110456E-11,1.488531E-09
2/1/2024 1:23:37 PM,-1.201122E-08,1.065578E-08
2/1/2024 1:23:37 PM,-1.343113E-08,1.330536E-08
2/1/2024 1:23:37 PM,-2.350609E-09,2.434686E-09
2/1/2024 1:23:37 PM,-1.420383E-08,1.453528E-08
2/1/2024 1:23:37 PM,-5.2273E-10,1.039716E-09
2/1/2024 1:23:37 PM,1.48253E-10,1.489003E-09
2/1/2024 1:23:37 PM,1.706447E-10,7.474819E-10
2/1/2024 1:23:38 PM,1.918369E-10,1.424986E-09
2/1/2024 1:23:38 PM,2.130905E-10,1.548894E-09
2/1/2024 1:23:38 PM,7.603346E-11,1.063266E-09
2/1/2024 1:23:38 PM,1.279835E-10,1.454581E-09
2/1/2024 1:23:38 PM,-1.537895E-13,8.446552E-10
2/1/2024 1:23:38 PM,-5.896283E-11,7.403663E-10
2/1/2024 1:23:38 PM,-2.088444E-11,9.209384E-10
2/1/2024 1:23:38 PM,-6.100147E-09,6.090209E-09
2/1/2024 1:23:38 PM,1.384104E-12,8.531428E-10
2/1/2024 1:23:38 PM,-9.64258E-11,1.348077E-09
2/1/2024 1:23:38 PM,-1.758428E-10,1.270611E-09
2/1/2024 1:23:39 PM,1.706447E-10,1.593323E-09
2/1/2024 1:23:39 PM,-1.847638E-08,1.821696E-08
2/1/2024 1:23:39 PM,-1.534848E-09,1.984322E-09
2/1/2024 1:23:39 PM,-5.322558E-09,5.317043E-09
2/1/2024 1:23:39 PM,-5.817236E-10,1.046845E-09
2/1/2024 1:23:39 PM,-4.420522E-10,9.640612E-10
2/1/2024 1:23:39 PM,-6.731883E-09,7.78143E-09
2/1/2024 1:23:39 PM,9.07971E-11,1.48869E-09
2/1/2024 1:23:39 PM,-1.086005E-08,1.077185E-08
2/1/2024 1:23:39 PM,-1.584017E-11,9.672438E-10
2/1/2024 1:23:39 PM,-4.249447E-09,4.191409E-09
2/1/2024 1:23:39 PM,-4.422058E-10,9.591611E-10
2/1/2024 1:23:40 PM,-9.49188E-11,1.018542E-09
2/1/2024 1:23:40 PM,-2.252589E-08,2.232274E-08
2/1/2024 1:23:40 PM,-1.601261E-08,1.587276E-08
